Monat,Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
01/1971,2.092,1.310,2.092,22.896,0,0.782
02/1971,2.778,1.048,2.778,22.896,0,1.730
03/1971,4.428,0.786,4.428,22.896,0,3.642
04/1971,6.972,1.834,6.972,22.896,0,5.138
05/1971,3.125,1.834,3.125,22.896,0,1.291
06/1971,5.164,2.620,5.164,22.896,0,2.544
07/1971,2.097,3.144,3.144,21.849,0,0.000
08/1971,1.085,3.668,3.668,19.267,0,0.000
09/1971,0.888,3.668,3.668,16.487,0,0.000
10/1971,0.802,2.620,2.620,14.668,0,0.000
11/1971,0.791,1.834,1.834,13.625,0,0.000
12/1971,4.717,1.834,1.834,16.509,0,0.000
01/1972,1.882,1.310,1.310,17.080,0,0.000
02/1972,1.022,1.048,1.048,17.055,0,0.000
03/1972,0.941,0.786,0.786,17.209,0,0.000
04/1972,3.724,1.834,1.834,19.099,0,0.000
05/1972,2.951,1.834,1.834,20.216,0,0.000
06/1972,4.008,2.620,2.620,21.604,0,0.000
07/1972,2.144,3.144,3.144,20.605,0,0.000
08/1972,2.951,3.668,3.668,19.888,0,0.000
09/1972,2.063,3.668,3.668,18.283,0,0.000
10/1972,2.725,2.620,2.620,18.388,0,0.000
11/1972,2.933,1.834,1.834,19.487,0,0.000
12/1972,2.504,1.834,1.834,20.157,0,0.000
01/1973,1.325,1.310,1.310,20.172,0,0.000
02/1973,1.522,1.048,1.048,20.646,0,0.000
03/1973,3.532,0.786,1.282,22.896,0,0.496
04/1973,6.872,1.834,6.872,22.896,0,5.038
05/1973,5.850,1.834,5.850,22.896,0,4.016
06/1973,1.813,2.620,2.620,22.089,0,0.000
07/1973,3.080,3.144,3.144,22.025,0,0.000
08/1973,1.837,3.668,3.668,20.194,0,0.000
09/1973,0.865,3.668,3.668,17.391,0,0.000
10/1973,1.256,2.620,2.620,16.027,0,0.000
11/1973,1.162,1.834,1.834,15.355,0,0.000
12/1973,1.146,1.834,1.834,14.666,0,0.000
01/1974,5.083,1.310,1.310,18.439,0,0.000
02/1974,2.313,1.048,1.048,19.704,0,0.000
03/1974,3.445,0.786,0.786,22.363,0,0.000
04/1974,1.574,1.834,1.834,22.103,0,0.000
05/1974,1.771,1.834,1.834,22.040,0,0.000
06/1974,2.452,2.620,2.620,21.872,0,0.000
07/1974,2.778,3.144,3.144,21.506,0,0.000
08/1974,1.335,3.668,3.668,19.173,0,0.000
09/1974,0.907,3.668,3.668,16.412,0,0.000
10/1974,1.982,2.620,2.620,15.773,0,0.000
11/1974,8.191,1.834,1.834,22.131,0,0.000
12/1974,19.295,1.834,18.530,22.896,0,16.696
01/1975,6.349,1.310,6.349,22.896,0,5.039
02/1975,3.508,1.048,3.508,22.896,0,2.460
03/1975,2.092,0.786,2.092,22.896,0,1.306
04/1975,4.108,1.834,4.108,22.896,0,2.274
05/1975,1.795,1.834,1.834,22.857,0,0.000
06/1975,1.556,2.620,2.620,21.793,0,0.000
07/1975,1.527,3.144,3.144,20.176,0,0.000
08/1975,1.992,3.668,3.668,18.500,0,0.000
09/1975,1.540,3.668,3.668,16.372,0,0.000
10/1975,0.796,2.620,2.620,14.548,0,0.000
11/1975,1.012,1.834,1.834,13.726,0,0.000
12/1975,3.642,1.834,1.834,15.534,0,0.000
01/1976,12.509,1.310,5.147,22.896,0,3.837
02/1976,2.830,1.048,2.830,22.896,0,1.782
03/1976,2.168,0.786,2.168,22.896,0,1.382
04/1976,5.385,1.834,5.385,22.896,0,3.551
05/1976,1.482,1.834,1.834,22.544,0,0.000
06/1976,1.685,2.620,2.620,21.609,0,0.000
07/1976,1.046,3.144,3.144,19.511,0,0.000
08/1976,1.099,3.668,3.668,16.941,0,0.000
09/1976,0.878,3.668,3.668,14.151,0,0.000
10/1976,0.710,2.620,2.620,12.240,0,0.000
11/1976,0.946,1.834,1.834,11.353,0,0.000
12/1976,2.347,1.834,1.834,11.865,0,0.000
01/1977,1.895,1.310,1.310,12.450,0,0.000
02/1977,5.874,1.048,1.048,17.276,0,0.000
03/1977,6.344,0.786,0.786,22.834,0,0.000
04/1977,4.131,1.834,4.069,22.896,0,2.235
05/1977,2.639,1.834,2.639,22.896,0,0.805
06/1977,2.552,2.620,2.620,22.828,0,0.000
07/1977,2.300,3.144,3.144,21.983,0,0.000
08/1977,4.097,3.668,3.668,22.412,0,0.000
09/1977,3.330,3.668,3.668,22.074,0,0.000
10/1977,2.168,2.620,2.620,21.622,0,0.000
11/1977,4.723,1.834,3.449,22.896,0,1.615
12/1977,3.666,1.834,3.666,22.896,0,1.832
01/1978,2.765,1.310,2.765,22.896,0,1.455
02/1978,1.401,1.048,1.401,22.896,0,0.353
03/1978,5.926,0.786,5.926,22.896,0,5.140
04/1978,4.118,1.834,4.118,22.896,0,2.284
05/1978,5.676,1.834,5.676,22.896,0,3.842
06/1978,2.533,2.620,2.620,22.809,0,0.000
07/1978,1.637,3.144,3.144,21.303,0,0.000
08/1978,2.859,3.668,3.668,20.494,0,0.000
09/1978,4.357,3.668,3.668,21.183,0,0.000
10/1978,6.157,2.620,4.445,22.896,0,1.825
11/1978,2.155,1.834,2.155,22.896,0,0.321
12/1978,3.485,1.834,3.485,22.896,0,1.651
01/1979,4.885,1.310,4.885,22.896,0,3.575
02/1979,1.377,1.048,1.377,22.896,0,0.329
03/1979,5.966,0.786,5.966,22.896,0,5.180
04/1979,8.191,1.834,8.191,22.896,0,6.357
05/1979,2.631,1.834,2.631,22.896,0,0.797
06/1979,1.267,2.620,2.620,21.543,0,0.000
07/1979,1.482,3.144,3.144,19.881,0,0.000
08/1979,1.401,3.668,3.668,17.614,0,0.000
09/1979,4.189,3.668,3.668,18.135,0,0.000
10/1979,2.696,2.620,2.620,18.211,0,0.000
11/1979,1.808,1.834,1.834,18.185,0,0.000
12/1979,5.119,1.834,1.834,21.470,0,0.000
01/1980,1.482,1.310,1.310,21.643,0,0.000
02/1980,5.172,1.048,3.918,22.896,0,2.870
03/1980,2.591,0.786,2.591,22.896,0,1.805
04/1980,7.506,1.834,7.506,22.896,0,5.672
05/1980,6.983,1.834,6.983,22.896,0,5.149
06/1980,1.028,2.620,2.620,21.304,0,0.000
07/1980,8.969,3.144,7.377,22.896,0,4.233
08/1980,1.876,3.668,3.668,21.104,0,0.000
09/1980,1.674,3.668,3.668,19.110,0,0.000
10/1980,2.754,2.620,2.620,19.245,0,0.000
11/1980,3.009,1.834,1.834,20.420,0,0.000
12/1980,3.574,1.834,1.834,22.160,0,0.000
01/1981,2.649,1.310,1.913,22.896,0,0.603
02/1981,1.895,1.048,1.895,22.896,0,0.847
03/1981,15.158,0.786,15.158,22.896,0,14.372
04/1981,2.581,1.834,2.581,22.896,0,0.747
05/1981,3.656,1.834,3.656,22.896,0,1.822
06/1981,1.430,2.620,2.620,21.706,0,0.000
07/1981,4.612,3.144,3.422,22.896,0,0.278
08/1981,4.223,3.668,4.223,22.896,0,0.555
09/1981,2.250,3.668,3.668,21.478,0,0.000
10/1981,6.570,2.620,5.152,22.896,0,2.532
11/1981,6.646,1.834,6.646,22.896,0,4.812
12/1981,2.754,1.834,2.754,22.896,0,0.920
01/1982,4.060,1.310,4.060,22.896,0,2.750
02/1982,2.999,1.048,2.999,22.896,0,1.951
03/1982,5.288,0.786,5.288,22.896,0,4.502
04/1982,6.862,1.834,6.862,22.896,0,5.028
05/1982,3.143,1.834,3.143,22.896,0,1.309
06/1982,1.359,2.620,2.620,21.635,0,0.000
07/1982,1.261,3.144,3.144,19.752,0,0.000
08/1982,2.381,3.668,3.668,18.465,0,0.000
09/1982,0.744,3.668,3.668,15.541,0,0.000
10/1982,1.012,2.620,2.620,13.933,0,0.000
11/1982,0.878,1.834,1.834,12.976,0,0.000
12/1982,2.045,1.834,1.834,13.187,0,0.000
01/1983,6.496,1.310,1.310,18.373,0,0.000
02/1983,3.758,1.048,1.048,21.083,0,0.000
03/1983,4.707,0.786,2.894,22.896,0,2.108
04/1983,8.488,1.834,8.488,22.896,0,6.654
05/1983,2.250,1.834,2.250,22.896,0,0.416
06/1983,1.430,2.620,2.620,21.706,0,0.000
07/1983,0.802,3.144,3.144,19.363,0,0.000
08/1983,5.335,3.668,3.668,21.030,0,0.000
09/1983,1.256,3.668,3.668,18.618,0,0.000
10/1983,0.773,2.620,2.620,16.771,0,0.000
11/1983,1.685,1.834,1.834,16.621,0,0.000
12/1983,1.277,1.834,1.834,16.065,0,0.000
01/1984,2.434,1.310,1.310,17.188,0,0.000
02/1984,2.539,1.048,1.048,18.679,0,0.000
03/1984,3.027,0.786,0.786,20.920,0,0.000
04/1984,8.349,1.834,6.373,22.896,0,4.539
05/1984,3.301,1.834,3.301,22.896,0,1.467
06/1984,3.393,2.620,3.393,22.896,0,0.773
07/1984,5.740,3.144,5.740,22.896,0,2.596
08/1984,2.662,3.668,3.668,21.890,0,0.000
09/1984,2.702,3.668,3.668,20.924,0,0.000
10/1984,2.596,2.620,2.620,20.900,0,0.000
11/1984,1.574,1.834,1.834,20.640,0,0.000
12/1984,0.901,1.834,1.834,19.708,0,0.000
01/1985,0.836,1.310,1.310,19.233,0,0.000
02/1985,1.669,1.048,1.048,19.854,0,0.000
03/1985,2.213,0.786,0.786,21.281,0,0.000
04/1985,5.356,1.834,3.741,22.896,0,1.907
05/1985,2.644,1.834,2.644,22.896,0,0.810
06/1985,1.853,2.620,2.620,22.129,0,0.000
07/1985,3.800,3.144,3.144,22.785,0,0.000
08/1985,0.773,3.668,3.668,19.889,0,0.000
09/1985,0.512,3.668,3.668,16.734,0,0.000
10/1985,0.773,2.620,2.620,14.887,0,0.000
11/1985,0.744,1.834,1.834,13.796,0,0.000
12/1985,3.043,1.834,1.834,15.005,0,0.000
01/1986,4.357,1.310,1.310,18.053,0,0.000
02/1986,1.493,1.048,1.048,18.497,0,0.000
03/1986,4.914,0.786,0.786,22.626,0,0.000
04/1986,8.023,1.834,7.753,22.896,0,5.919
05/1986,3.014,1.834,3.014,22.896,0,1.180
06/1986,5.653,2.620,5.653,22.896,0,3.033
07/1986,1.267,3.144,3.144,21.019,0,0.000
08/1986,2.173,3.668,3.668,19.524,0,0.000
09/1986,2.980,3.668,3.668,18.836,0,0.000
10/1986,2.486,2.620,2.620,18.702,0,0.000
11/1986,3.369,1.834,1.834,20.237,0,0.000
12/1986,3.858,1.834,1.834,22.261,0,0.000
01/1987,7.682,1.310,7.047,22.896,0,5.737
02/1987,2.712,1.048,2.712,22.896,0,1.664
03/1987,5.054,0.786,5.054,22.896,0,4.268
04/1987,15.839,1.834,15.839,22.896,0,14.005
05/1987,3.440,1.834,3.440,22.896,0,1.606
06/1987,3.758,2.620,3.758,22.896,0,1.138
07/1987,2.039,3.144,3.144,21.791,0,0.000
08/1987,2.754,3.668,3.668,20.877,0,0.000
09/1987,2.696,3.668,3.668,19.906,0,0.000
10/1987,1.416,2.620,2.620,18.702,0,0.000
11/1987,2.596,1.834,1.834,19.465,0,0.000
12/1987,7.779,1.834,4.348,22.896,0,2.514
01/1988,3.038,1.310,3.038,22.896,0,1.728
02/1988,3.004,1.048,3.004,22.896,0,1.956
03/1988,5.322,0.786,5.322,22.896,0,4.536
04/1988,13.503,1.834,13.503,22.896,0,11.669
05/1988,2.168,1.834,2.168,22.896,0,0.334
06/1988,0.946,2.620,2.620,21.222,0,0.000
07/1988,0.917,3.144,3.144,18.995,0,0.000
08/1988,0.783,3.668,3.668,16.110,0,0.000
09/1988,1.022,3.668,3.668,13.465,0,0.000
10/1988,1.064,2.620,2.620,11.909,0,0.000
11/1988,2.389,1.834,1.834,12.464,0,0.000
12/1988,8.814,1.834,1.834,19.444,0,0.000
01/1989,6.084,1.310,2.632,22.896,0,1.322
02/1989,2.021,1.048,2.021,22.896,0,0.973
03/1989,4.817,0.786,4.817,22.896,0,4.031
04/1989,1.238,1.834,1.834,22.300,0,0.000
05/1989,1.748,1.834,1.834,22.213,0,0.000
06/1989,0.725,2.620,2.620,20.319,0,0.000
07/1989,0.773,3.144,3.144,17.947,0,0.000
08/1989,0.633,3.668,3.668,14.913,0,0.000
09/1989,0.512,3.668,3.668,11.757,0,0.000
10/1989,1.424,2.620,2.620,10.562,0,0.000
11/1989,2.552,1.834,1.834,11.279,0,0.000
12/1989,3.771,1.834,1.834,13.217,0,0.000
01/1990,2.300,1.310,1.310,14.206,0,0.000
02/1990,3.987,1.048,1.048,17.145,0,0.000
03/1990,6.128,0.786,0.786,22.487,0,0.000
04/1990,3.737,1.834,3.328,22.896,0,1.494
05/1990,2.707,1.834,2.707,22.896,0,0.873
06/1990,1.992,2.620,2.620,22.268,0,0.000
07/1990,1.564,3.144,3.144,20.688,0,0.000
08/1990,0.854,3.668,3.668,17.874,0,0.000
09/1990,2.441,3.668,3.668,16.647,0,0.000
10/1990,1.934,2.620,2.620,15.961,0,0.000
11/1990,3.335,1.834,1.834,17.462,0,0.000
12/1990,1.992,1.834,1.834,17.620,0,0.000
01/1991,3.235,1.310,1.310,19.545,0,0.000
02/1991,1.214,1.048,1.048,19.712,0,0.000
03/1991,1.477,0.786,0.786,20.403,0,0.000
04/1991,1.296,1.834,1.834,19.864,0,0.000
05/1991,2.039,1.834,1.834,20.069,0,0.000
06/1991,2.773,2.620,2.620,20.222,0,0.000
07/1991,1.430,3.144,3.144,18.508,0,0.000
08/1991,1.196,3.668,3.668,16.035,0,0.000
09/1991,0.512,3.668,3.668,12.880,0,0.000
10/1991,0.528,2.620,2.620,10.788,0,0.000
11/1991,1.330,1.834,1.834,10.284,0,0.000
12/1991,4.399,1.834,1.834,12.849,0,0.000
01/1992,7.240,1.310,1.310,18.779,0,0.000
02/1992,6.623,1.048,2.506,22.896,0,1.458
03/1992,10.023,0.786,10.023,22.896,0,9.237
04/1992,5.340,1.834,5.340,22.896,0,3.506
05/1992,3.214,1.834,3.214,22.896,0,1.380
06/1992,0.820,2.620,2.620,21.096,0,0.000
07/1992,1.196,3.144,3.144,19.148,0,0.000
08/1992,0.844,3.668,3.668,16.323,0,0.000
09/1992,0.783,3.668,3.668,13.438,0,0.000
10/1992,0.930,2.620,2.620,11.749,0,0.000
11/1992,3.259,1.834,1.834,13.173,0,0.000
12/1992,1.727,1.834,1.834,13.066,0,0.000
01/1993,2.788,1.310,1.310,14.544,0,0.000
02/1993,2.168,1.048,1.048,15.664,0,0.000
03/1993,3.666,0.786,0.786,18.545,0,0.000
04/1993,1.028,1.834,1.834,17.738,0,0.000
05/1993,1.109,1.834,1.834,17.013,0,0.000
06/1993,1.574,2.620,2.620,15.967,0,0.000
07/1993,2.381,3.144,3.144,15.204,0,0.000
08/1993,1.958,3.668,3.668,13.494,0,0.000
09/1993,1.493,3.668,3.668,11.319,0,0.000
10/1993,1.146,2.620,2.620,9.845,0,0.000
11/1993,1.056,1.834,1.834,9.067,0,0.000
12/1993,6.118,1.834,1.834,13.351,0,0.000
01/1994,4.171,1.310,1.310,16.212,0,0.000
02/1994,2.184,1.048,1.048,17.348,0,0.000
03/1994,3.091,0.786,0.786,19.652,0,0.000
04/1994,2.883,1.834,1.834,20.701,0,0.000
05/1994,2.097,1.834,1.834,20.964,0,0.000
06/1994,1.779,2.620,2.620,20.123,0,0.000
07/1994,3.096,3.144,3.144,20.075,0,0.000
08/1994,3.075,3.668,3.668,19.482,0,0.000
09/1994,2.226,3.668,3.668,18.040,0,0.000
10/1994,1.742,2.620,2.620,17.162,0,0.000
11/1994,2.331,1.834,1.834,17.659,0,0.000
12/1994,4.828,1.834,1.834,20.653,0,0.000
01/1995,5.624,1.310,3.381,22.896,0,2.071
02/1995,5.758,1.048,5.758,22.896,0,4.710
03/1995,2.662,0.786,2.662,22.896,0,1.876
04/1995,9.337,1.834,9.337,22.896,0,7.503
05/1995,2.116,1.834,2.116,22.896,0,0.282
06/1995,2.278,2.620,2.620,22.554,0,0.000
07/1995,1.464,3.144,3.144,20.874,0,0.000
08/1995,0.872,3.668,3.668,18.079,0,0.000
09/1995,6.641,3.668,3.668,21.052,0,0.000
10/1995,2.654,2.620,2.620,21.086,0,0.000
11/1995,6.013,1.834,4.203,22.896,0,2.369
12/1995,2.754,1.834,2.754,22.896,0,0.920
01/1996,1.685,1.310,1.685,22.896,0,0.375
02/1996,0.557,1.048,1.048,22.405,0,0.000
03/1996,1.051,0.786,0.786,22.670,0,0.000
04/1996,3.038,1.834,2.812,22.896,0,0.978
05/1996,2.265,1.834,2.265,22.896,0,0.431
06/1996,1.819,2.620,2.620,22.095,0,0.000
07/1996,6.176,3.144,5.374,22.896,0,2.230
08/1996,1.343,3.668,3.668,20.571,0,0.000
09/1996,2.730,3.668,3.668,19.633,0,0.000
10/1996,4.194,2.620,2.620,21.208,0,0.000
11/1996,3.062,1.834,1.834,22.435,0,0.000
12/1996,1.876,1.834,1.834,22.478,0,0.000
01/1997,1.175,1.310,1.310,22.342,0,0.000
02/1997,4.160,1.048,3.607,22.896,0,2.559
03/1997,6.257,0.786,6.257,22.896,0,5.471
04/1997,3.729,1.834,3.729,22.896,0,1.895
05/1997,1.800,1.834,1.834,22.862,0,0.000
06/1997,0.783,2.620,2.620,21.025,0,0.000
07/1997,0.936,3.144,3.144,18.817,0,0.000
08/1997,1.109,3.668,3.668,16.258,0,0.000
09/1997,0.778,3.668,3.668,13.368,0,0.000
10/1997,1.122,2.620,2.620,11.870,0,0.000
11/1997,0.970,1.834,1.834,11.006,0,0.000
12/1997,3.824,1.834,1.834,12.995,0,0.000
01/1998,2.765,1.310,1.310,14.450,0,0.000
02/1998,2.197,1.048,1.048,15.599,0,0.000
03/1998,6.954,0.786,0.786,21.767,0,0.000
04/1998,1.813,1.834,1.834,21.746,0,0.000
05/1998,0.917,1.834,1.834,20.829,0,0.000
06/1998,0.975,2.620,2.620,19.184,0,0.000
07/1998,1.603,3.144,3.144,17.643,0,0.000
08/1998,1.219,3.668,3.668,15.195,0,0.000
09/1998,4.683,3.668,3.668,16.210,0,0.000
10/1998,4.544,2.620,2.620,18.134,0,0.000
11/1998,6.194,1.834,1.834,22.494,0,0.000
12/1998,3.829,1.834,3.427,22.896,0,1.593
01/1999,3.296,1.310,3.296,22.896,0,1.986
02/1999,3.997,1.048,3.997,22.896,0,2.949
03/1999,8.517,0.786,8.517,22.896,0,7.731
04/1999,3.277,1.834,3.277,22.896,0,1.443
05/1999,1.685,1.834,1.834,22.747,0,0.000
06/1999,1.185,2.620,2.620,21.312,0,0.000
07/1999,1.401,3.144,3.144,19.569,0,0.000
08/1999,0.668,3.668,3.668,16.568,0,0.000
09/1999,0.423,3.668,3.668,13.323,0,0.000
10/1999,0.662,2.620,2.620,11.365,0,0.000
