Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
0.139,1.4183881676999999,1.4183881676999999,4.610547031619821,0.0,0.0
0.213,1.4183881676999999,1.4183881676999999,3.751922863919821,0.0,0.0
0.389,1.0131344055,1.0131344055,3.761080458419821,0.0,0.0
0.327,0.8105075244,0.8105075244,3.809928934019821,0.0,0.0
0.847,0.6078806433,0.6078806433,5.427964290719821,0.0,0.0
0.384,1.4183881676999999,1.4183881676999999,5.018728123019821,0.0,0.0
0.296,1.4183881676999999,1.4183881676999999,4.378227955319821,0.0,0.0
0.225,2.026268811,2.026268811,2.9432591443198213,0.0,0.0
0.225,2.4315225732,2.4315225732,1.1030365711198211,0.0,0.0
0.372,2.8367763353999997,2.0806525711198214,0.0,-0.7561237642801786,0.0
0.165,2.8367763353999997,0.4336199999999999,0.0,-2.4031563354,0.0
1.123,2.026268811,2.026268811,0.924975189,0.0,0.0
0.605,1.4183881676999999,1.4183881676999999,1.0965270213,0.0,0.0
1.043,1.4183881676999999,1.4183881676999999,2.4191428536000004,0.0,0.0
0.46,1.0131344055,1.0131344055,2.6148884481000003,0.0,0.0
2.021,0.8105075244,0.8105075244,7.1155689237,0.0,0.0
1.134,0.6078806433,0.6078806433,9.487840280399999,0.0,0.0
1.364,1.4183881676999999,1.4183881676999999,11.6540441127,0.0,0.0
1.171,1.4183881676999999,1.4183881676999999,13.313043945,0.0,0.0
1.069,2.026268811,2.026268811,14.096107134,0.0,0.0
0.398,2.4315225732,2.4315225732,12.7105285608,0.0,0.0
0.372,2.8367763353999997,2.8367763353999997,10.8513682254,0.0,0.0
0.21,2.8367763353999997,2.8367763353999997,8.56647189,0.0,0.0
0.171,2.026268811,2.026268811,6.989591079000001,0.0,0.0
0.293,1.4183881676999999,1.4183881676999999,6.341206911300001,0.0,0.0
0.608,1.4183881676999999,1.4183881676999999,6.520642743600002,0.0,0.0
0.867,1.0131344055,1.0131344055,7.785984338100001,0.0,0.0
1.242,0.8105075244,0.8105075244,10.239452813700002,0.0,0.0
0.981,0.6078806433,0.6078806433,12.209640170400002,0.0,0.0
1.478,1.4183881676999999,1.4183881676999999,14.675436002700001,0.0,0.0
0.887,1.4183881676999999,1.4183881676999999,15.588083835000003,0.0,0.0
0.253,2.026268811,2.026268811,14.226699024000002,0.0,0.0
0.196,2.4315225732,2.4315225732,12.310264450800002,0.0,0.0
0.159,2.8367763353999997,2.8367763353999997,9.891340115400002,0.0,0.0
0.128,2.8367763353999997,2.8367763353999997,7.390947780000002,0.0,0.0
0.091,2.026268811,2.026268811,5.603826969000002,0.0,0.0
0.125,1.4183881676999999,1.4183881676999999,4.513938801300002,0.0,0.0
0.179,1.4183881676999999,1.4183881676999999,3.565962633600002,0.0,0.0
0.168,1.0131344055,1.0131344055,2.994332228100002,0.0,0.0
0.094,0.8105075244,0.8105075244,2.430856703700002,0.0,0.0
1.308,0.6078806433,0.6078806433,5.260400060400002,0.0,0.0
0.568,1.4183881676999999,1.4183881676999999,5.334715892700002,0.0,0.0
0.375,1.4183881676999999,1.4183881676999999,4.901827725000002,0.0,0.0
0.131,2.026268811,2.026268811,3.219826914000002,0.0,0.0
0.037,2.4315225732,2.4315225732,0.8855403408000022,0.0,0.0
0.054,2.8367763353999997,1.0274523408000023,0.0,-1.8093239945999975,0.0
0.193,2.8367763353999997,0.5072039999999998,0.0,-2.3295723354,0.0
0.21,2.026268811,0.5518800000000001,0.0,-1.4743888109999999,0.0
0.546,1.4183881676999999,1.4183881676999999,0.016499832300000072,0.0,0.0
